;eco;name;pgn
0;A00;Amar Gambit;1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4
1;A00;Amar Opening;1. Nh3
2;A00;Amar Opening: Gent Gambit;1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3
3;A00;Amar Opening: Paris Gambit;1. Nh3 d5 2. g3 e5 3. f4
4;A00;Amsterdam Attack;1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6
5;A00;Anderssen's Opening;1. a3
6;A00;Anderssen's Opening: Polish Gambit;1. a3 a5 2. b4
7;A00;Barnes Opening: Fool's Mate;1. f3 e5 2. g4 Qh4#
8;A00;Barnes Opening: Gedult Gambit;1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3
9;A00;Barnes Opening: Gedult Gambit;1. f3 f5 2. e4 fxe4 3. Nc3
10;A00;Barnes Opening: Hammerschlag;1. f3 e5 2. Kf2
11;A00;Clemenz Opening;1. h3
12;A00;Clemenz Opening: Spike Lee Gambit;1. h3 h5 2. g4
13;A00;Crab Opening;1. a4 e5 2. h4
14;A00;Creepy Crawly Formation: Classical Defense;1. h3 d5 2. a3 e5
15;A00;Englund Gambit Declined: Reversed French;1. e3 e5 2. d4
16;A00;Formation: Cabbage Attack;1. c3 e5 2. a3 d5 3. b3 Nf6 4. Bb2 Nc6 5. a4 Bd6 6. g3 O-O 7. e3
17;A00;Formation: Hippopotamus Attack;1. a3 e5 2. b3 d5 3. c3 Nf6 4. d3 Nc6 5. e3 Bd6 6. f3 O-O 7. g3
18;A00;Formation: Shy Attack;1. a3 e5 2. g3 d5 3. Bg2 Nf6 4. d3 Nc6 5. Nd2 Bd6 6. e3 O-O 7. h3
19;A00;Gedult's Opening;1. f3
20;A00;Global Opening;1. h3 e5 2. a3
21;A00;Grob Opening;1. g4
22;A00;Grob Opening: Alessi Gambit;1. g4 f5
23;A00;Grob Opening: Double Grob;1. g4 g5
24;A00;Grob Opening: Double Grob, Coca-Cola Gambit;1. g4 g5 2. f4
25;A00;Grob Opening: Grob Gambit;1. g4 d5 2. Bg2
26;A00;Grob Opening: Grob Gambit Declined;1. g4 d5 2. Bg2 c6
27;A00;Grob Opening: Grob Gambit, Basman Gambit;1. g4 d5 2. Bg2 h5 3. gxh5
28;A00;Grob Opening: Grob Gambit, Fritz Gambit;1. g4 d5 2. Bg2 Bxg4 3. c4
29;A00;Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit;1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8 Qxa8
