eco;name;pgn;parent;move_count;id;path;color
empty;empty;root;empty;empty;-1;empty;#7806a2
A00;Anderssen's Opening;1. a3;root;1;5;img/5.webp;#4ed482
A00;Ware Opening;1. a4;root;1;141;img/141.webp;#4ed482
A01;Nimzo-Larsen Attack;1. b3;root;1;147;img/147.webp;#a63289
A00;Polish Opening;1. b4;root;1;73;img/73.webp;#4ed482
A00;Saragossa Opening;1. c3;root;1;98;img/98.webp;#4ed482
A10;English Opening;1. c4;root;1;265;img/265.webp;#cae6bd
A00;Mieses Opening;1. d3;root;1;70;img/70.webp;#4ed482
A40;Queen's Pawn Game;1. d4;root;1;459;img/459.webp;#8b41ba
B00;King's Pawn;1. e4;root;1;735;img/735.webp;#6fd6ef
A00;Gedult's Opening;1. f3;root;1;19;img/19.webp;#4ed482
A02;Bird Opening;1. f4;root;1;161;img/161.webp;#c85d27
A00;Hungarian Opening;1. g3;root;1;41;img/41.webp;#4ed482
A00;Grob Opening;1. g4;root;1;21;img/21.webp;#4ed482
A00;Clemenz Opening;1. h3;root;1;11;img/11.webp;#4ed482
A00;Kádas Opening;1. h4;root;1;61;img/61.webp;#4ed482
A00;Van't Kruijs Opening;1. e3;root;1;134;img/134.webp;#4ed482
A00;Amar Opening;1. Nh3;root;1;1;img/1.webp;#4ed482
A04;Zukertort Opening;1. Nf3;root;1;193;img/193.webp;#78146f
A00;Sodium Attack;1. Na3;root;1;99;img/99.webp;#4ed482
A00;Van Geet Opening;1. Nc3;root;1;104;img/104.webp;#4ed482
A00;Polish Opening: Birmingham Gambit;1. b4 c5;1. b4;2;75;img/75.webp;#4ed482
A10;English Opening: Jaenisch Gambit;1. c4 b5;1. c4;2;277;img/277.webp;#cae6bd
A30;English Opening: Symmetrical Variation;1. c4 c5;1. c4;2;383;img/383.webp;#b4bf38
A02;Bird Opening: Hobbs Gambit;1. f4 g5;1. f4;2;169;img/169.webp;#c85d27
A02;P00;1. f4 h6;1. f4;2;3681;img/3681.webp;#c85d27
A00;Polish Opening: Dutch Defense;1. b4 f5;1. b4;2;79;img/79.webp;#4ed482
