eco;entry;name;pgn;parent;hm
A01;Nimzovich-Larsen Attack 1 b3;Nimzovich-Larsen Attack;1 b3;root;1
A02;Bird's Opening 1 f4;Bird's Opening;1 f4;root;1
B00;Uncommon King's Pawn Opening 1 e4;Uncommon King's Pawn Opening;1 e4;root;1
A40;Queen's Pawn Game 1 d4;Queen's Pawn Game;1 d4;root;1
A10;English 1 c4;English;1 c4;root;1
A04;Reti Opening 1 Nf3;Reti Opening;1 Nf3;root;1
A13;English 1 c4 e6;English;1 c4 e6;A10;2
A11;English, Caro-Kann Defensive System 1 c4 c6;English, Caro-Kann Defensive System;1 c4 c6;A10;2
A03;Bird's Opening 1 f4 d5;Bird's Opening;1 f4 d5;A02;2
A30;English, Symmetrical 1 c4 c5;English, Symmetrical;1 c4 c5;A10;2
A20;English 1 c4 e5;English;1 c4 e5;A10;2
B10;Caro-Kann 1 e4 c6;Caro-Kann;1 e4 c6;B00;2
B20;Sicilian 1 e4 c5;Sicilian;1 e4 c5;B00;2
C00;French Defense 1 e4 e6;French Defense;1 e4 e6;B00;2
A43;Old Benoni 1 d4 c5;Old Benoni;1 d4 c5;A40;2
A80;Dutch 1 d4 f5;Dutch;1 d4 f5;A40;2
92;;placeholder-92;1 e4 d6;B00;2
A41;Queen's Pawn Game (with ...d6) 1 d4 d6;Queen's Pawn Game (with ...d6);1 d4 d6;A40;2
B01;Scandinavian 1 e4 d5;Scandinavian;1 e4 d5;B00;2
C20;King's Pawn Game 1 e4 e5;King's Pawn Game;1 e4 e5;B00;2
B06;Robatsch 1 e4 g6;Robatsch;1 e4 g6;B00;2
D00;Queen's Pawn Game 1 d4 d5;Queen's Pawn Game;1 d4 d5;A40;2
A45;Queen's Pawn Game 1 d4 Nf6;Queen's Pawn Game;1 d4 Nf6;A40;2
A06;Reti Opening 1 Nf3 d5;Reti Opening;1 Nf3 d5;A04;2
B02;Alekhine's Defense 1 e4 Nf6;Alekhine's Defense;1 e4 Nf6;B00;2
A15;English 1 c4 Nf6;English;1 c4 Nf6;A10;2
A05;Reti Opening 1 Nf3 Nf6;Reti Opening;1 Nf3 Nf6;A04;2
B21;Sicilian, 2.f4 and 2.d4 1 e4 c5 2 f4;Sicilian, 2.f4 and 2.d4;1 e4 c5 2 f4;B00;3
A81;Dutch 1 d4 f5 2 g3;Dutch;1 d4 f5 2 g3;A40;3
216;;placeholder-216;1 e4 e5 2 d4;B00;3
190;;placeholder-190;1 e4 e6 2 d4;B00;3
B22;Sicilian, Alapin 1 e4 c5 2 c3;Sicilian, Alapin;1 e4 c5 2 c3;B00;3
C30;King's Gambit Declined 1 e4 e5 2 f4;King's Gambit Declined;1 e4 e5 2 f4;B00;3
A82;Dutch, Staunton Gambit 1 d4 f5 2 e4;Dutch, Staunton Gambit;1 d4 f5 2 e4;A40;3
A84;Dutch 1 d4 f5 2 c4;Dutch;1 d4 f5 2 c4;A40;3
30;;placeholder-30;1 d4 c5 2 d5;A40;3
B12;Caro-Kann Defense 1 e4 c6 2 d4;Caro-Kann Defense;1 e4 c6 2 d4;B00;3
91;;placeholder-91;1 e4 d6 2 d4;B00;3
D06;Queen's Gambit Declined 1 d4 d5 2 c4;Queen's Gambit Declined;1 d4 d5 2 c4;A40;3
29;;placeholder-29;1 d4 d6 2 c4;A40;3
A34;English, Symmetrical 1 c4 c5 2 Nc3;English, Symmetrical;1 c4 c5 2 Nc3;A10;3
A07;King's Indian Attack 1 Nf3 d5 2 g3;King's Indian Attack;1 Nf3 d5 2 g3;A04;3
C40;King's Knight Opening 1 e4 e5 2 Nf3;King's Knight Opening;1 e4 e5 2 Nf3;B00;3
B27;Sicilian 1 e4 c5 2 Nf3;Sicilian;1 e4 c5 2 Nf3;B00;3
C25;Vienna 1 e4 e5 2 Nc3;Vienna;1 e4 e5 2 Nc3;B00;3
C23;Bishop's Opening 1 e4 e5 2 Bc4;Bishop's Opening;1 e4 e5 2 Bc4;B00;3
17;;placeholder-17;1 c4 c5 2 Nf3;A10;3
280;;placeholder-280;1 d4 d5 2 Nc3;A40;3
A21;English 1 c4 e5 2 Nc3;English;1 c4 e5 2 Nc3;A10;3
A09;Reti Opening 1 Nf3 d5 2 c4;Reti Opening;1 Nf3 d5 2 c4;A04;3
2;;placeholder-2;1 c4 c6 2 Nf3;A10;3
B23;Sicilian, Closed 1 e4 c5 2 Nc3;Sicilian, Closed;1 e4 c5 2 Nc3;B00;3
D02;Queen's Pawn Game 1 d4 d5 2 Nf3;Queen's Pawn Game;1 d4 d5 2 Nf3;A40;3
A50;Queen's Pawn Game 1 d4 Nf6 2 c4;Queen's Pawn Game;1 d4 Nf6 2 c4;A40;3
99;;placeholder-99;1 e4 c6 2 Nc3;B00;3
8;;placeholder-8;1 c4 e6 2 Nf3;A10;3
89;;placeholder-89;1 e4 Nf6 2 e5;B00;3
A46;Queen's Pawn Game 1 d4 Nf6 2 Nf3;Queen's Pawn Game;1 d4 Nf6 2 Nf3;A40;3
A16;English 1 c4 Nf6 2 Nc3;English;1 c4 Nf6 2 Nc3;A10;3
C31;King's Gambit Declined, Falkbeer Counter Gambit 1 e4 e5 2 f4 d5;King's Gambit Declined, Falkbeer Counter Gambit;1 e4 e5 2 f4 d5;B00;4
D10;Queen's Gambit Declined Slav 1 d4 d5 2 c4 c6;Queen's Gambit Declined Slav;1 d4 d5 2 c4 c6;A40;4
189;;placeholder-189;1 e4 e6 2 d4 d5;B00;4
A44;Old Benoni Defense 1 d4 c5 2 d5 e5;Old Benoni Defense;1 d4 c5 2 d5 e5;A40;4
D30;Queen's Gambit Declined 1 d4 d5 2 c4 e6;Queen's Gambit Declined;1 d4 d5 2 c4 e6;A40;4
28;;placeholder-28;1 d4 d6 2 c4 g6;A40;4
D08;Queen's Gambit Declined, Albin Counter Gambit 1 d4 d5 2 c4 e5;Queen's Gambit Declined, Albin Counter Gambit;1 d4 d5 2 c4 e5;A40;4
101;;placeholder-101;1 e4 c6 2 d4 d5;B00;4
E00;Queen's Pawn Game 1 d4 Nf6 2 c4 e6;Queen's Pawn Game;1 d4 Nf6 2 c4 e6;A40;4
C41;Philidor Defense 1 e4 e5 2 Nf3 d6;Philidor Defense;1 e4 e5 2 Nf3 d6;B00;4
7;;placeholder-7;1 c4 e6 2 Nf3 d5;A10;4
0;;placeholder-0;1 Nf3 d5 2 g3 c5;A04;4
A51;Budapest Gambit 1 d4 Nf6 2 c4 e5;Budapest Gambit;1 d4 Nf6 2 c4 e5;A40;4
D07;Queen's Gambit Declined, Chigorin Defense 1 d4 d5 2 c4 Nc6;Queen's Gambit Declined, Chigorin Defense;1 d4 d5 2 c4 Nc6;A40;4
A56;Benoni Defense 1 d4 Nf6 2 c4 c5;Benoni Defense;1 d4 Nf6 2 c4 c5;A40;4
1;;placeholder-1;1 c4 c6 2 Nf3 d5;A10;4
E60;King's Indian Defense 1 d4 Nf6 2 c4 g6;King's Indian Defense;1 d4 Nf6 2 c4 g6;A40;4
65;;placeholder-65;1 d4 f5 2 c4 Nf6;A40;4
B50;Sicilian 1 e4 c5 2 Nf3 d6;Sicilian;1 e4 c5 2 Nf3 d6;B00;4
B40;Sicilian 1 e4 c5 2 Nf3 e6;Sicilian;1 e4 c5 2 Nf3 e6;B00;4
A53;Old Indian 1 d4 Nf6 2 c4 d6;Old Indian;1 d4 Nf6 2 c4 d6;A40;4
B28;Sicilian, O'Kelly Variation 1 e4 c5 2 Nf3 a6;Sicilian, O'Kelly Variation;1 e4 c5 2 Nf3 a6;B00;4
98;;placeholder-98;1 e4 c6 2 Nc3 d5;B00;4
B07;Pirc 1 e4 d6 2 d4 Nf6;Pirc;1 e4 d6 2 d4 Nf6;B00;4
D20;Queen's Gambit Accepted 1 d4 d5 2 c4 dxc4;Queen's Gambit Accepted;1 d4 d5 2 c4 dxc4;A40;4
C26;Vienna 1 e4 e5 2 Nc3 Nf6;Vienna;1 e4 e5 2 Nc3 Nf6;B00;4
119;;placeholder-119;1 e4 c5 2 Nc3 Nc6;B00;4
C44;King's Pawn Game 1 e4 e5 2 Nf3 Nc6;King's Pawn Game;1 e4 e5 2 Nf3 Nc6;B00;4
C21;Center Game 1 e4 e5 2 d4 exd4;Center Game;1 e4 e5 2 d4 exd4;B00;4
C42;Petrov Defense 1 e4 e5 2 Nf3 Nf6;Petrov Defense;1 e4 e5 2 Nf3 Nf6;B00;4
64;;placeholder-64;1 d4 f5 2 e4 fxe4;A40;4
C24;Bishop's Opening 1 e4 e5 2 Bc4 Nf6;Bishop's Opening;1 e4 e5 2 Bc4 Nf6;B00;4
88;;placeholder-88;1 e4 Nf6 2 e5 Nd5;B00;4
C33;King's Gambit Accepted 1 e4 e5 2 f4 exf4;King's Gambit Accepted;1 e4 e5 2 f4 exf4;B00;4
A47;Queen's Indian 1 d4 Nf6 2 Nf3 b6;Queen's Indian;1 d4 Nf6 2 Nf3 b6;A40;4
279;;placeholder-279;1 d4 d5 2 Nc3 Nf6;A40;4
281;;placeholder-281;1 d4 d5 2 Nf3 Nf6;A40;4
A17;English 1 c4 Nf6 2 Nc3 e6;English;1 c4 Nf6 2 Nc3 e6;A10;4
A25;English 1 c4 e5 2 Nc3 Nc6;English;1 c4 e5 2 Nc3 Nc6;A10;4
16;;placeholder-16;1 c4 c5 2 Nf3 Nf6;A10;4
A22;English 1 c4 e5 2 Nc3 Nf6;English;1 c4 e5 2 Nc3 Nf6;A10;4
B29;Sicilian, Nimzovich-Rubinstein 1 e4 c5 2 Nf3 Nf6;Sicilian, Nimzovich-Rubinstein;1 e4 c5 2 Nf3 Nf6;B00;4
B30;Sicilian 1 e4 c5 2 Nf3 Nc6;Sicilian;1 e4 c5 2 Nf3 Nc6;B00;4
A35;English, Symmetrical 1 c4 c5 2 Nc3 Nc6;English, Symmetrical;1 c4 c5 2 Nc3 Nc6;A10;4
A48;King's Indian 1 d4 Nf6 2 Nf3 g6;King's Indian;1 d4 Nf6 2 Nf3 g6;A40;4
C02;French, Advance 1 e4 e6 2 d4 d5 3 e5;French, Advance;1 e4 e6 2 d4 d5 3 e5;B00;5
388;;placeholder-388;1 d4 Nf6 2 c4 e6 3 g3;A40;5
