eco;entry;name;pgn;parent;move_count;path
A01;Nimzovich-Larsen Attack 1 b3;Nimzovich-Larsen Attack;1 b3;root;1;img/A01.svg
B00;Uncommon King's Pawn Opening 1 e4;Uncommon King's Pawn Opening;1 e4;root;1;img/B00.svg
A40;Queen's Pawn Game 1 d4;Queen's Pawn Game;1 d4;root;1;img/A40.svg
A10;English 1 c4;English;1 c4;root;1;img/A10.svg
nan;nan;nan;root;nan;nan;nan
A02;Bird's Opening 1 f4;Bird's Opening;1 f4;root;1;img/A02.svg
A04;Reti Opening 1 Nf3;Reti Opening;1 Nf3;root;1;img/A04.svg
D00;Queen's Pawn Game 1 d4 d5;Queen's Pawn Game;1 d4 d5;1 d4;2;img/D00.svg
A41;Queen's Pawn Game (with ...d6) 1 d4 d6;Queen's Pawn Game (with ...d6);1 d4 d6;1 d4;2;img/A41.svg
A43;Old Benoni 1 d4 c5;Old Benoni;1 d4 c5;1 d4;2;img/A43.svg
A20;English 1 c4 e5;English;1 c4 e5;1 c4;2;img/A20.svg
A80;Dutch 1 d4 f5;Dutch;1 d4 f5;1 d4;2;img/A80.svg
B01;Scandinavian 1 e4 d5;Scandinavian;1 e4 d5;1 e4;2;img/B01.svg
A03;Bird's Opening 1 f4 d5;Bird's Opening;1 f4 d5;1 f4;2;img/A03.svg
B06;Robatsch 1 e4 g6;Robatsch;1 e4 g6;1 e4;2;img/B06.svg
A13;English 1 c4 e6;English;1 c4 e6;1 c4;2;img/A13.svg
B20;Sicilian 1 e4 c5;Sicilian;1 e4 c5;1 e4;2;img/B20.svg
A11;English, Caro-Kann Defensive System 1 c4 c6;English, Caro-Kann Defensive System;1 c4 c6;1 c4;2;img/A11.svg
C00;French Defense 1 e4 e6;French Defense;1 e4 e6;1 e4;2;img/C00.svg
C20;King's Pawn Game 1 e4 e5;King's Pawn Game;1 e4 e5;1 e4;2;img/C20.svg
92;;placeholder-92;1 e4 d6;1 e4;2;img/92.svg
B10;Caro-Kann 1 e4 c6;Caro-Kann;1 e4 c6;1 e4;2;img/B10.svg
A30;English, Symmetrical 1 c4 c5;English, Symmetrical;1 c4 c5;1 c4;2;img/A30.svg
B02;Alekhine's Defense 1 e4 Nf6;Alekhine's Defense;1 e4 Nf6;1 e4;2;img/B02.svg
A45;Queen's Pawn Game 1 d4 Nf6;Queen's Pawn Game;1 d4 Nf6;1 d4;2;img/A45.svg
A06;Reti Opening 1 Nf3 d5;Reti Opening;1 Nf3 d5;1 Nf3;2;img/A06.svg
A15;English 1 c4 Nf6;English;1 c4 Nf6;1 c4;2;img/A15.svg
A05;Reti Opening 1 Nf3 Nf6;Reti Opening;1 Nf3 Nf6;1 Nf3;2;img/A05.svg
B12;Caro-Kann Defense 1 e4 c6 2 d4;Caro-Kann Defense;1 e4 c6 2 d4;1 e4 c6;3;img/B12.svg
C30;King's Gambit Declined 1 e4 e5 2 f4;King's Gambit Declined;1 e4 e5 2 f4;1 e4 e5;3;img/C30.svg
30;;placeholder-30;1 d4 c5 2 d5;1 d4 c5;3;img/30.svg
29;;placeholder-29;1 d4 d6 2 c4;1 d4 d6;3;img/29.svg
A81;Dutch 1 d4 f5 2 g3;Dutch;1 d4 f5 2 g3;1 d4 f5;3;img/A81.svg
91;;placeholder-91;1 e4 d6 2 d4;1 e4 d6;3;img/91.svg
A82;Dutch, Staunton Gambit 1 d4 f5 2 e4;Dutch, Staunton Gambit;1 d4 f5 2 e4;1 d4 f5;3;img/A82.svg
