eco;name;pgn;parent;move_count;id;path_png;path_webp;path_svg;complex;color
empty;empty;root;empty;0;-1;empty;empty;empty;empty;#117a78
A00;Anderssen's Opening;1. a3;root;1;5;..shared/img/png/5.png;..shared/img/webp/5.webp;..shared/img/svg/5.svg;Anderssen's Opening;#bcc317
A00;Ware Opening;1. a4;root;1;141;..shared/img/png/141.png;..shared/img/webp/141.webp;..shared/img/svg/141.svg;Ware Opening;#bcc317
A01;Nimzo-Larsen Attack;1. b3;root;1;147;..shared/img/png/147.png;..shared/img/webp/147.webp;..shared/img/svg/147.svg;Nimzo-Larsen Attack;#7eeed3
A00;Polish Opening;1. b4;root;1;73;..shared/img/png/73.png;..shared/img/webp/73.webp;..shared/img/svg/73.svg;Polish Opening;#bcc317
A00;Saragossa Opening;1. c3;root;1;98;..shared/img/png/98.png;..shared/img/webp/98.webp;..shared/img/svg/98.svg;Saragossa Opening;#bcc317
A10;English Opening;1. c4;root;1;265;..shared/img/png/265.png;..shared/img/webp/265.webp;..shared/img/svg/265.svg;English Opening;#47a168
A00;Mieses Opening;1. d3;root;1;70;..shared/img/png/70.png;..shared/img/webp/70.webp;..shared/img/svg/70.svg;Mieses Opening;#bcc317
A40;Queen's Pawn Game;1. d4;root;1;459;..shared/img/png/459.png;..shared/img/webp/459.webp;..shared/img/svg/459.svg;Queen's Pawn Game;#b25097
B00;King's Pawn;1. e4;root;1;735;..shared/img/png/735.png;..shared/img/webp/735.webp;..shared/img/svg/735.svg;King's Pawn;#39e399
A00;Gedult's Opening;1. f3;root;1;19;..shared/img/png/19.png;..shared/img/webp/19.webp;..shared/img/svg/19.svg;Gedult's Opening;#bcc317
A02;Bird Opening;1. f4;root;1;161;..shared/img/png/161.png;..shared/img/webp/161.webp;..shared/img/svg/161.svg;Bird Opening;#62fa84
A00;Hungarian Opening;1. g3;root;1;41;..shared/img/png/41.png;..shared/img/webp/41.webp;..shared/img/svg/41.svg;Hungarian Opening;#bcc317
A00;Grob Opening;1. g4;root;1;21;..shared/img/png/21.png;..shared/img/webp/21.webp;..shared/img/svg/21.svg;Grob Opening;#bcc317
A00;Clemenz Opening;1. h3;root;1;11;..shared/img/png/11.png;..shared/img/webp/11.webp;..shared/img/svg/11.svg;Clemenz Opening;#bcc317
A00;Kádas Opening;1. h4;root;1;61;..shared/img/png/61.png;..shared/img/webp/61.webp;..shared/img/svg/61.svg;Kádas Opening;#bcc317
A00;Van't Kruijs Opening;1. e3;root;1;134;..shared/img/png/134.png;..shared/img/webp/134.webp;..shared/img/svg/134.svg;Van't Kruijs Opening;#bcc317
A00;Amar Opening;1. Nh3;root;1;1;..shared/img/png/1.png;..shared/img/webp/1.webp;..shared/img/svg/1.svg;Amar Opening;#bcc317
A04;Zukertort Opening;1. Nf3;root;1;193;..shared/img/png/193.png;..shared/img/webp/193.webp;..shared/img/svg/193.svg;Zukertort Opening;#cbdd73
A00;Sodium Attack;1. Na3;root;1;99;..shared/img/png/99.png;..shared/img/webp/99.webp;..shared/img/svg/99.svg;Sodium Attack;#bcc317
A00;Van Geet Opening;1. Nc3;root;1;104;..shared/img/png/104.png;..shared/img/webp/104.webp;..shared/img/svg/104.svg;Van Geet Opening;#bcc317
A00;Polish Opening: Birmingham Gambit;1. b4 c5;1. b4;2;75;..shared/img/png/75.png;..shared/img/webp/75.webp;..shared/img/svg/75.svg;Polish Opening;#bcc317
A10;English Opening: Jaenisch Gambit;1. c4 b5;1. c4;2;277;..shared/img/png/277.png;..shared/img/webp/277.webp;..shared/img/svg/277.svg;English Opening;#47a168
A30;English Opening: Symmetrical Variation;1. c4 c5;1. c4;2;383;..shared/img/png/383.png;..shared/img/webp/383.webp;..shared/img/svg/383.svg;English Opening;#d47f64
